provincia,departamento,sector,ambito,matricula_total,tasa_repitencia,tasa_sobreedad,ratio_alumnos_seccion,tasa_abandono,abandono_alto,prop_electricidad,prop_equip_establecimiento,prop_equip_biblioteca,prop_internet_estatal,prop_conexion_aulas,prop_sin_cooperadora,prop_laboratorio,prop_biblioteca
Buenos Aires,ROQUE PEREZ,Estatal,Urbano,2273.0,0.039595248570171576,0.13022437307523096,20.663636363636364,0.1777777777777777,0,1.0,0.39035087719298245,0.15789473684210523,0.8947368421052632,0.8947368421052632,0.42105263157894735,0.21052631578947367,0.5789473684210527
Buenos Aires,SAAVEDRA,Estatal,Rural,503.0,0.04970178926441352,0.18886679920477137,16.225806451612904,0.3992015968063871,0,1.0,0.5434782608695653,0.22826086956521738,0.6521739130434783,0.9565217391304348,0.17391304347826086,0.391304347826087,0.7391304347826086
Buenos Aires,SAAVEDRA,Estatal,Urbano,1894.0,0.0675818373812038,0.15311510031678988,19.13131313131313,2.0856201975850714,1,1.0,0.6309523809523809,0.17857142857142855,0.2857142857142857,0.7142857142857143,0.0,0.35714285714285715,0.9285714285714286
Buenos Aires,SAAVEDRA,Privado,Urbano,1069.0,0.005612722170252572,0.02432179607109448,22.270833333333332,0.0,0,1.0,0.59375,0.296875,0.0,1.0,0.875,0.625,0.875
Buenos Aires,SALADILLO,Estatal,Rural,1349.0,0.0385470719051149,0.054114158636026685,25.942307692307693,0.5368098159509203,0,1.0,0.4682539682539682,0.08928571428571427,0.7619047619047619,0.9047619047619048,0.16666666666666666,0.23809523809523808,0.5952380952380952
Buenos Aires,SALADILLO,Estatal,Urbano,4099.0,0.06757745791656501,0.1353988777750671,22.037634408602152,0.0237586124970301,0,1.0,0.3999999999999999,0.17916666666666664,0.7,0.7666666666666667,0.3333333333333333,0.4,0.7666666666666667
Buenos Aires,SALADILLO,Privado,Urbano,1189.0,0.005046257359125316,0.009251471825063078,27.022727272727273,0.0,0,1.0,0.6547619047619049,0.17857142857142855,0.0,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
Buenos Aires,SALLIQUELO,Estatal,Urbano,1532.0,0.0639686684073107,0.16318537859007834,19.896103896103895,0.0,0,1.0,0.5625,0.4270833333333334,0.08333333333333333,0.75,0.0,0.4166666666666667,1.0
Buenos Aires,SALTO,Estatal,Rural,954.0,0.041928721174004195,0.09853249475890985,23.26829268292683,0.7150153217568949,0,1.0,0.376984126984127,0.10714285714285714,0.47619047619047616,0.7619047619047619,0.23809523809523808,0.23809523809523808,0.6190476190476191
Buenos Aires,SALTO,Estatal,Urbano,5457.0,0.07055158512002932,0.12002932013927066,25.862559241706162,0.0736105999263894,0,1.0,0.3898809523809524,0.16964285714285715,0.21428571428571427,0.5,0.32142857142857145,0.2857142857142857,0.8214285714285714
Buenos Aires,SALTO,Privado,Urbano,1205.0,0.0033195020746887966,0.014937759336099586,30.897435897435898,0.0,0,1.0,0.6547619047619048,0.26785714285714285,0.0,1.0,1.0,0.2857142857142857,0.7142857142857143
Buenos Aires,SAN ANDRES DE GILES,Estatal,Rural,1183.0,0.05409974640743871,0.15722738799661876,19.39344262295082,0.0,0,1.0,0.4294871794871795,0.044871794871794865,0.7435897435897436,0.8717948717948718,0.1282051282051282,0.15384615384615385,0.5384615384615384
Buenos Aires,SAN ANDRES DE GILES,Estatal,Urbano,2910.0,0.06872852233676977,0.17938144329896907,22.384615384615383,0.0677277345072807,0,1.0,0.34821428571428575,0.04464285714285714,0.5714285714285714,0.7857142857142857,0.2857142857142857,0.2857142857142857,0.75
Buenos Aires,SAN ANDRES DE GILES,Privado,Urbano,1353.0,0.004434589800443459,0.0066518847006651885,28.1875,0.0,0,1.0,0.5104166666666666,0.0,0.0,0.875,0.875,0.5,0.25
Buenos Aires,SAN ANTONIO DE ARECO,Estatal,Rural,493.0,0.030425963488843813,0.05070993914807302,19.72,0.1968503937007873,0,1.0,0.3888888888888889,0.11805555555555555,0.5,0.8888888888888888,0.2222222222222222,0.2777777777777778,0.7222222222222222
Buenos Aires,SAN ANTONIO DE ARECO,Estatal,Urbano,2889.0,0.05053651782623745,0.1142263759086189,21.559701492537314,0.1367521367521367,0,1.0,0.48333333333333345,0.15,0.6,0.7333333333333333,0.16666666666666666,0.3333333333333333,0.9
Buenos Aires,SAN ANTONIO DE ARECO,Privado,Urbano,1587.0,0.005040957781978576,0.008191556395715185,24.415384615384614,0.0,0,1.0,0.6499999999999999,0.32499999999999996,0.0,1.0,0.9,0.7,0.7
Buenos Aires,SAN CAYETANO,Estatal,Rural,116.0,0.034482758620689655,0.1206896551724138,14.5,0.0,0,1.0,0.5333333333333333,0.3375,0.5,0.8,0.1,0.0,0.7
Buenos Aires,SAN CAYETANO,Estatal,Urbano,1040.0,0.010576923076923078,0.015384615384615385,20.8,0.0,0,1.0,0.5249999999999999,0.275,0.8,1.0,0.2,0.2,0.7
Buenos Aires,SAN FERNANDO,Estatal,Rural,824.0,0.06067961165048544,0.1929611650485437,14.714285714285714,0.1152073732718894,0,1.0,0.45987654320987653,0.18055555555555555,0.9629629629629629,0.7407407407407407,0.2962962962962963,0.25925925925925924,0.7407407407407407
Buenos Aires,SAN FERNANDO,Estatal,Urbano,18055.0,0.06109111049570756,0.18122403766269732,21.964720194647203,0.1874517587385599,0,1.0,0.45662100456621,0.1421232876712329,0.9315068493150684,0.7123287671232876,0.410958904109589,0.3287671232876712,0.9315068493150684
Buenos Aires,SAN FERNANDO,Privado,Urbano,14545.0,0.006187693365417669,0.03740116878652458,26.34963768115942,0.0137400384721077,0,0.9850746268656716,0.5708955223880597,0.1753731343283582,0.0,0.8059701492537313,0.9850746268656716,0.5522388059701493,0.6716417910447762
Buenos Aires,SAN ISIDRO,Estatal,Urbano,19949.0,0.06677026417364279,0.21324377161762495,19.673570019723865,0.4950975633433647,0,1.0,0.5241935483870966,0.13709677419354838,0.8064516129032258,0.8172043010752689,0.3010752688172043,0.46236559139784944,0.8494623655913979
Buenos Aires,SAN ISIDRO,Privado,Urbano,32244.0,0.006140677335318198,0.0240975065128396,24.65137614678899,0.0122786014672928,0,0.9723756906077348,0.5925414364640883,0.18646408839779005,0.011049723756906077,0.8066298342541437,0.9723756906077348,0.6850828729281768,0.574585635359116
Buenos Aires,SAN MIGUEL,Estatal,Urbano,38661.0,0.052507695093246425,0.1675331729650035,26.016823687752357,0.3816988141890172,0,0.96,0.438,0.14,0.824,0.456,0.12,0.216,0.832
